city,district,neighborhood,restaurant_type,name,address,main_menu,link,
서울,종로구,공평동,한식,할매가곰탕 종로센트로폴리스점,서울 종로구 우정국로 26 지하2층 10호 (공평동),곰탕,https://naver.me/5hE588uo,
서울,종로구,공평동,한식,제주세호해장국 센트로폴리스점,서울 종로구 우정국로 26 지하2층 (공평동),해장국,https://naver.me/FvFdsQOv,
서울,종로구,공평동,한식,스모플레이스 센트로폴리스점,서울 종로구 우정국로 26 센트로폴리스 1층 (공평동),솥밥,https://naver.me/FpZi1gsU,
서울,종로구,관수동,카페,꼬르꼬바두,서울 종로구 수표로 86-1 B1~2층 (관수동),아인슈페너,https://naver.me/5EWikYNB,
서울,종로구,중학동,카페,팀홀튼 광화문K-Twin타워점,서울 종로구 종로1길 50 케이트윈타워 B동 1층 (중학동),메이플라떼,https://naver.me/FHAjr9T8,
서울,종로구,청진동,한식,종로도담,서울 종로구 삼봉로 78 (청진동),김치찜,https://naver.me/Fvn7iwGv,
서울,성동구,성수동,한식,소년식당,서울 성동구 서울숲6길 17 (성수동),간장새우밥,https://naver.me/5KZOCujS,
서울,성동구,성수동,카페,뉴믹스커피,서울 성동구 연무장3길 3 1층 (성수동),믹스커피,https://naver.me/GOzZMeWk,
서울,성동구,성수동,양식,제스티살룬 성수,서울 성동구 서울숲4길 13 1층 (성수동),햄버거,https://naver.me/GxORsrxh,
서울,강남구,역삼동,아시안,미엔아이 천등,서울 강남구 봉은사로4길 32 1층 (역삼동),우육면,https://naver.me/5y4qXEQt,
서울,강남구,논현동,한식,할매가곰탕 강남구청역점,서울 강남구 학동로 343 (논현동),곰탕,https://naver.me/xEMpzZfb,
서울,동대문구,용두동,일식,경양카츠 제기점,서울 동대문구 왕산로 86 푸르지오시티상가 101동 114호,돈까스,https://naver.me/FhAdN3JF,
서울,동대문구,신설동,양식,오스테리아채채,서울 동대문구 왕산로3길 10 1층 (신설동),스파게티,https://naver.me/FM1DZdly,
서울,중구,신당동,한식,멸치국수 맛있는집,서울 중구 동호로 186-3 (신당동),멸치국수,https://naver.me/xswkkftQ,
서울,송파구,문정동,분식,골목떡볶이,서울 송파구 문정로1길 33 (문정동),떡볶이,https://naver.me/GjRGavDK,
서울,송파구,문정동,고기,칠성집 갈매기 문정본점,서울 송파구 법원로11길 7 문정 현대지식산업센터 1층 (문정동),생갈매기살,https://naver.me/xNdmmZlz,
서울,송파구,장지동,분식,동이네분식,서울 송파구 새말로12길 16 (장지동),떡볶이,https://naver.me/G3JGFygH,
서울,송파구,방이동,양식,라쿤피자 잠실본점,서울 송파구 가락로 239 풍원빌딩 1층 (방이동),슈퍼라쿤즈피자,https://naver.me/GedobGSu,
서울,강서구,마곡동,양식,세컨디포레스트 발산점,서울 강서구 강서로 395 2층 205호 (마곡동),스파게티,https://naver.me/xAWgiCeV,
서울,성북구,길음동,한식,한술식당 길음본점,서울 성북구 삼양로 15-2 1층 (길음동),덮밥,https://naver.me/FdEKZW2F,
서울,성북구,안암동,한식,한술식당 고대안암,서울 성북구 고려대로24길 15 2층 (안암동),덮밥,https://naver.me/FTOz7Ise,
서울,은평구,갈현동,한식,경주식당 연신내점,서울 은평구 연서로27길 13-8 (갈현동),고기한상,https://naver.me/IMQYPr5V,
서울,영등포구,문래동,베이커리,쉐프조 문래본점,서울 영등포구 문래로 98 한영빌딩 (문래동),케이크,https://naver.me/FJH6nKf6,
서울,영등포구,여의도동,햄버거,파이브가이즈 여의도,서울 영등포구 여의대로 108 (여의도동),치즈버거,https://naver.me/GwE91Mbw,
서울,광진구,화양동,카페,최가커피회관,서울 광진구 능동로13길 30 (화양동),비엔나커피,https://naver.me/Gtt1NRwf,
서울,강북구,미아동,한식,강북끝집,서울 강북구 도봉로8길 62 1층 (미아동),곱창,https://naver.me/5kLkAg2c,
서울,마포구,서교동,양식,풀리너마이트 홍대,서울 마포구 홍익로 13-4 (서교동),햄버거,https://naver.me/GJrDz7C1,
서울,마포구,노고산동,일식,렌게,서울 마포구 신촌로12길 31 1층 (노고산동),라멘,https://naver.me/GHEefARy,
서울,서대문구,창천동,한식,밥은먹었어,서울 서대문구 연세로11길 24 1층 (창천동),솥밥,https://naver.me/Goz2fWWY,
서울,서대문구,대현동,일식,담뿍유부,서울 서대문구 이화여대길 77 1층 (대현동),유뷰초밥,https://naver.me/xdf9KbPD,
서울,양천구,목동,한식,팔각도 목동점,서울 양천구 목동동로 266-1 1층 (목동),닭갈비,https://naver.me/IG6G4tZ0,
서울,강동구,천호동,한식,송월냉면,서울 강동구 구천면로29길 26 (천호동),냉면,https://naver.me/GKovmOTT,
서울,구로구,구로동,아시안,아건구디역점,서울 구로구 디지털로32길 97-15 (구로동),인도커리,https://naver.me/x6PU5mIq,
서울,금천구,독산동,한식,진영면옥,서울 금천구 가산로 22-5 (독산동),냉면,https://naver.me/IxD7bPNC,
서울,동작구,사당동,분식,애플하우스,서울 동작구 동작대로27다길 29 2층 (사당동),떡볶이,https://naver.me/FDjN9huq,
서울,관악구,봉천동,일식,킷사서울,서울 관악구 남부순환로226길 31 2층 (봉천동),부타동,https://naver.me/52lhPqAU,
서울,도봉구,방학동,일식,스시린,서울 도봉구 도봉로150길 43 1층 (방학동),초밥,https://naver.me/FJHIcYkH,
서울,노원구,중계동,횟집,생생도도참치,서울 노원구 덕릉로83길 16 2층 (중계동),대표메뉴,https://naver.me/5pEO6W8k,
서울,용산구,한남동,양식,델리카트슨 한남,서울 용산구 이태원로 231 지하1층 (한남동),스테이크,https://naver.me/xBpL4ucA,
서울,중랑구,상봉동,고기,꿀삼겹,서울 중랑구 봉우재로 139 (상봉동),급냉꿀삼겹,https://naver.me/5X9TX3Zj,
서울,서초구,서초동,한식,서관면옥 교대본점,서울 서초구 서초대로56길 11 (서초동),냉면,https://naver.me/FEJdwTsn,
서울,서초구,양재동,뷔페,디오디아2.0,서울 서초구 강남대로 213 엘타워 4층 (양재동),뷔페,https://naver.me/xL1JfwpQ,
서울,서초구,서초동,햄버거,파이브가이즈 강남,서울 서초구 강남대로 435 주류성빌딩 (서초동),치즈버거,https://naver.me/Gh8cwiqc,
부산,강서구,봉림동,고기,푸디1354,부산 강서구 가락대로 1354 1층과 2층 (봉림동),스테이크,https://naver.me/Gp0CeRqq,
부산,연제구,연산동,한식,서가원국수,부산 연제구 반송로 68 D동 1층 (연산동),국수,https://naver.me/GNyUS33j,
부산,수영구,민락동,일식,톤쇼우 광안점,부산 수영구 광안해변로279번길 13 1층 (민락동),히레카츠,https://naver.me/FYuaUzzx,
부산,사상구,괘법동,한식,합천일류돼지국밥,부산 사상구 광장로 34 윌로펌프 (괘법동),순대,https://naver.me/F1M2e7rb,
부산,기장군,이천리,카페,디원카페,부산 기장군 일광읍 일광로 326 (이천리),아메리카노,https://naver.me/x4biH6GK,
부산,서구,암남동,조개요리,송도1913,부산 서구 등대로 11 (암남동),송도해수욕탕,https://naver.me/Fmgl9eEb,
부산,중구,신창동,양식,이재모피자 본점,부산 중구 광복중앙로 31 (신창동),대표메뉴,https://naver.me/xZDOEG67,
부산,동구,초량동,한식,초량해칼국수 부산역점,부산 동구 중앙대로231번길 15 1층 (초량동),한치조개전골,https://naver.me/GcjLucLL,
부산,북구,화명동,일식,히츠마부시 슌사이쿠보,부산 북구 양달로4번길 17 금샘빌딩 1층 (화명동),나고야식장어덮밥,https://naver.me/FGoe6L3h,
부산,영도구,청학동,양식,그라치에,부산 영도구 청학동로 12 1층 (청학동),감자뇨끼,https://naver.me/FlJxYAdc,
부산,부산진구,전포동,카페,올더어글리쿠키,부산 부산진구 전포동 675-29 (전포동),어글리쿠키,https://naver.me/5OncCkPf,
부산,동래구,온천동,양식,알베로,부산 동래구 충렬대로100번길 30 1층 (온천동),로제크림파스타,https://naver.me/FPsBBexK,
부산,해운대구,송정동,햄버거,더블업 수제 햄버거 송정점,부산 해운대구 송정강변로 89 1층 (송정동),칠리버거,https://naver.me/G9sM8c2F,
부산,사하구,괴정동,양식,파스타 흔,부산 사하구 사하로141번길 17 오성빌라 109호 (괴정동),흔파세트,https://naver.me/5LuJXCSh,
부산,금정구,장전동,일식,톤쇼우,부산 금정구 금강로 247-10 (장전동),돈까스,https://naver.me/5vIYRnFQ,
대구,북구,태전동,고기,간큰갈비 태전점,대구 북구 태전로 37 1층 (태전동),돼지갈비무한리필,https://naver.me/xM2EitlH,
대구,수성구,두산동,아시안,푸나왈라,대구 수성구 수성못2길 3 3층 (두산동),커리,https://naver.me/xkxq9ln3,
대구,달서구,진천동,일식,뜨돈 진천본점,대구 달서구 진천로9길 30 (진천동),돈까스,https://naver.me/5NdqC2iR,
대구,달성군,북리,한식,버섯골,대구 달성군 논공읍 논공로5길 125 (북리),소고기버섯샤브샤브,https://naver.me/xOCIjPMS,
대구,군위군,남산리,한식,시골밥상,대구 군위군 부계면 한티로 1903 (남산리),오리불고기,https://naver.me/5Tv3vZfE,
인천,중구,덕교동,한식,용유어보,인천 중구 용유로21번길 57 (덕교동),고등어구이,https://naver.me/Gtt9Inbr,
인천,서구,마전동,일식,홍익돈까스 검단점,인천 서구 완정로10번길 25-1 (마전동),돈까스,https://naver.me/xNdLqN6f,
인천,미추홀구,주안동,업종,백세삼계탕 인천주안점,인천 미추홀구 인주대로434번길 6 (주안동),삼계탕,https://naver.me/ID1c6iNO,
인천,미추홀구,주안동,업종,별미감자탕 주안점,인천 미추홀구 주염로 8 1층 (주안동),감자탕,https://naver.me/5eGZPJsp,
인천,동구,송림동,중식,명성각,인천 동구 샛골로161번길 36 (송림동),탕수육,https://naver.me/FCLxMazK,
인천,남동구,구월동,고기,와규몽,인천 남동구 선수촌공원로23번길 10-22 3층 (구월동),꽃삼겹살,https://naver.me/5U1Gj1Ho,
인천,부평구,삼산동,한식,배두둑마을,인천 부평구 체육관로 24 청호빌딩 (삼산동),곤드레밥정식,https://naver.me/FEJdNeJX,
인천,연수구,송도동,한식,밥상편지,인천 연수구 하모니로 124 3층 (송도동),흑마늘소갈비찜차림,https://naver.me/FXZrKKCl,
인천,계양구,용종동,일식,백소정 계양구청점,인천 계양구 오조산로89번길 9 1층 (용종동),돈카츠,https://naver.me/x8izFVHA,
인천,강화군,매음리,한식,토담마을 강화도본점,인천 강화군 삼산면 삼산남로 910 토담마을펜션 (매음리),밴댕이회무침정식,https://naver.me/xH2nwtu4,
인천,강화군,온수리,한식,원두막가든,인천 강화군 길상면 전등사로 60 (온수리),젓국갈비전골,https://naver.me/5Tv3TIQA,
인천,옹진군,선재리,카페,플로레도커피 선재점,인천 옹진군 영흥면 선재로 354 (선재리),아인슈페너,https://naver.me/xqfovjcW,
광주,광산구,신가동,일식,연어하다 광주본점,광주 광산구 수완로11번길 23 1층 (신가동),연어모듬,https://naver.me/ID1VpXK3,
대전,중구,은행동,베이커리,성심당 본점,대전 중구 대종로480번길 15 (은행동),튀김소보로,https://naver.me/FXZr5T27,
울산,울진군,후포면,한식,후포리 대게앤쿡,경북 울진군 후포면 후포로 178-3 (후포리),대게,https://naver.me/Ft8us3b6,
세종,부강면,문곡리,한식,부강옥 세종부강본점,세종 부강면 부강외천로 103 1층 (문곡리),순대,https://naver.me/Fyex2N0h,
세종,,대평동,한식,윤가네들깨수제비보쌈,세종 대평로 87 태양빌딩 2층 (대평동),별미들깨수제비,https://naver.me/GsTOBYNC,
세종,금남면,용담리,카페,가배서림,세종 금남면 안금로 241 (용담리),인절미크림가배,https://naver.me/xyUju1Uc,
경기,구리,수택동,일식,안다미로스시,경기 구리시 경춘로266번길 10 1층 (수택동),초밥,https://naver.me/5cTACOJm,
경기,구리,갈매동,고기,장우가,경기 구리시 경춘북로 252 갈매 아이파크 애비뉴 C동 2층 232호 (갈매동),돼지양념구이,https://naver.me/xVlAh4Er,
경기,광주,초월읍,한식,청보밥상,"경기,광주,초월읍,한식,청보밥상,경기 광주시 초월읍 경충대로 852 (산이리)",청국장,https://naver.me/x1gEq2Pu,
경기,양평,옥천면,고기,대디스바베큐,경기 양평군 옥천면 옥천문화마을3길 15-24 (옥천리),바비큐,https://naver.me/5HSESVlD,
경기,수원,이의동,양식,라고,경기 수원시 영통구 센트럴타운로 85 광교 아브뉴프랑 1층 중앙광장 (이의동),이탈리아 코스요리,https://naver.me/FGoehrMA,
강원,강릉,구정면,카페,테라로사 커피공장 강릉본점,강원 강릉시 구정면 현천길 7 (어단리),아메리카노,https://naver.me/GkKJK0mt,
충북,충주,금릉동,한식,숲속장수촌,충북 충주시 쇠저울1길 36 (금릉동),닭누릉지백숙,https://naver.me/xScBEWPB,
충남,천안,구룡동,베이커리,뚜쥬루 빵돌가마마을,충남 천안시 동남구 풍세로 706 (구룡동),거북이빵,https://naver.me/G1so4ORu,
전북,전주,남노소동,한식,한울밥상,전북 전주시 완산구 기린대로 104 (남노송동),떡갈비,https://naver.me/FFviHGCF,
전남,나주,중앙동,한식,나주곰탕하얀집,전남 나주시 금성관길 6-1 (중앙동),곰탕,https://naver.me/5vIczJLn,
전남,나주,금계동,한식,나주곰탕노안집,전남 나주시 금성관길 1-3 (금계동),곰탕,https://naver.me/GQ4Y1OxP,
경북,경주,사정동,한식,향화정,경북 경주시 사정로57번길 17 (사정동),꼬막비빔밥,https://naver.me/F5bFuSbJ,
경남,진주,이현동,한식,하연옥,경남 진주시 진주대로 1317-20,냉면,https://naver.me/FWJPLqi1,
제주,서귀포,색달동,일식,연돈,제주 서귀포시 색달로 10 (색달동),돈까스,https://naver.me/5DH3Hg8h,
,,,,,,,,
,,,,,,,,
